InstanceID,Type,earn,acq
9,TRAIN,TRUE,FALSE
10,TRAIN,FALSE,TRUE
11,TRAIN,TRUE,FALSE
12,TRAIN,TRUE,TRUE
13,TRAIN,TRUE,FALSE
14,TRAIN,TRUE,FALSE
18,TRAIN,TRUE,FALSE
23,TRAIN,TRUE,FALSE
24,TRAIN,TRUE,FALSE
27,TRAIN,TRUE,FALSE
36,TRAIN,TRUE,FALSE
37,TRAIN,TRUE,FALSE
38,TRAIN,TRUE,FALSE
40,TRAIN,TRUE,FALSE
41,TRAIN,TRUE,FALSE
44,TRAIN,FALSE,TRUE
45,TRAIN,FALSE,TRUE
50,TRAIN,TRUE,FALSE
53,TRAIN,TRUE,FALSE
56,TRAIN,TRUE,FALSE
64,TRAIN,TRUE,FALSE
65,TRAIN,TRUE,FALSE
66,TRAIN,TRUE,FALSE
68,TRAIN,FALSE,TRUE
71,TRAIN,TRUE,FALSE
74,TRAIN,TRUE,FALSE
82,TRAIN,TRUE,FALSE
83,TRAIN,TRUE,FALSE
85,TRAIN,TRUE,FALSE
86,TRAIN,TRUE,FALSE
87,TRAIN,TRUE,FALSE
89,TRAIN,TRUE,FALSE
93,TRAIN,TRUE,FALSE
96,TRAIN,FALSE,TRUE
98,TRAIN,TRUE,FALSE
108,TRAIN,TRUE,FALSE
110,TRAIN,FALSE,TRUE
113,TRAIN,TRUE,FALSE
123,TRAIN,TRUE,FALSE
125,TRAIN,FALSE,TRUE
126,TRAIN,TRUE,FALSE
128,TRAIN,FALSE,TRUE
129,TRAIN,TRUE,FALSE
130,TRAIN,TRUE,FALSE
134,TRAIN,FALSE,TRUE
135,TRAIN,FALSE,TRUE
138,TRAIN,TRUE,FALSE
139,TRAIN,TRUE,FALSE
140,TRAIN,TRUE,FALSE
142,TRAIN,TRUE,FALSE
143,TRAIN,TRUE,FALSE
145,TRAIN,TRUE,FALSE
146,TRAIN,TRUE,FALSE
147,TRAIN,TRUE,FALSE
151,TRAIN,TRUE,FALSE
152,TRAIN,TRUE,FALSE
153,TRAIN,FALSE,TRUE
157,TRAIN,FALSE,TRUE
160,TRAIN,TRUE,FALSE
162,TRAIN,FALSE,TRUE
163,TRAIN,TRUE,FALSE
164,TRAIN,TRUE,FALSE
165,TRAIN,TRUE,FALSE
166,TRAIN,TRUE,FALSE
167,TRAIN,TRUE,FALSE
168,TRAIN,TRUE,FALSE
169,TRAIN,TRUE,FALSE
183,TRAIN,TRUE,FALSE
185,TRAIN,FALSE,TRUE
186,TRAIN,FALSE,TRUE
187,TRAIN,TRUE,FALSE
196,TRAIN,TRUE,FALSE
199,TRAIN,FALSE,TRUE
201,TRAIN,TRUE,FALSE
202,TRAIN,TRUE,FALSE
210,TRAIN,TRUE,FALSE
212,TRAIN,TRUE,FALSE
214,TRAIN,TRUE,FALSE
260,TRAIN,FALSE,TRUE
279,TRAIN,TRUE,FALSE
298,TRAIN,FALSE,TRUE
299,TRAIN,TRUE,FALSE
302,TRAIN,FALSE,TRUE
304,TRAIN,FALSE,TRUE
315,TRAIN,FALSE,TRUE
317,TRAIN,TRUE,FALSE
331,TRAIN,FALSE,TRUE
334,TRAIN,FALSE,TRUE
345,TRAIN,TRUE,FALSE
356,TRAIN,TRUE,FALSE
361,TRAIN,FALSE,TRUE
362,TRAIN,FALSE,TRUE
366,TRAIN,FALSE,TRUE
