"DISTINCTTERM","ABSTRACTNUMBER"
"lung",17306
"patients",16379
"cancer",13432
"disease",10476
"study",10250
"heart",8907
"cell",8818
"cardiac",8475
"treatment",8282
"clinical",7489
"results",6539
"tumor",6396
"patient",6163
"pulmonary",5885
"2",5657
"carcinoma",5331
"significant",5270
"cases",5228
"1",5222
"analysis",5187
"compared",5107
"years",5075
"significantly",4940
"cells",4923
"therapy",4898
"diagnosis",4823
"survival",4749
"data",4735
"found",4680
"risk",4616
"showed",4615
"3",4601
"studies",4555
"increased",4548
"high",4170
"case",4132
"performed",4063
"rate",3938
"age",3859
"primary",3850
"time",3837
"tumors",3834
"left",3769
"observed",3769
"group",3697
"surgery",3616
"effects",3601
"higher",3562
"effect",3521
"present",3506
"5",3472
"treated",3451
"human",3423
"role",3418
"10",3406
"factors",3369
"4",3321
"small",3306
"months",3258
"chemotherapy",3206
"report",3181
"including",3174
"findings",3138
"normal",3131
"response",3127
"'s",3125
"levels",3081
"function",3025
"ventricular",2970
"non-small",2946
"diseases",2925
"important",2912
"expression",2862
"factor",2862
"activity",2859
"control",2815
"potential",2804
"total",2770
"6",2724
"groups",2714
"myocardial",2706
"number",2702
"reported",2699
"stage",2685
"surgical",2674
"mortality",2667
"growth",2639
"blood",2616
"due",2610
"evaluation",2570
"early",2563
"metastases",2558
"increase",2555
"death",2535
"suggest",2528
"review",2509
"development",2502
"evaluated",2499
"metastatic",2493
"tissue",2480
"metastasis",2443
"lower",2415
"failure",2382
"low",2349
"20",2342
"obtained",2334
"evidence",2308
"days",2296
"underwent",2287
"developed",2283
"revealed",2278
"demonstrated",2270
"based",2257
"studied",2244
"identified",2235
"included",2211
"similar",2205
"median",2201
"major",2181
"determine",2169
"type",2164
"related",2143
"diagnostic",2120
"common",2119
"12",2115
"detected",2115
"malignant",2112
"level",2109
"protein",2108
"incidence",2108
"adenocarcinoma",2106
"presence",2094
"rates",2085
"cardiovascular",2084
"coronary",2077
"examined",2074
"advanced",2070
"evaluate",2067
"method",2053
"therapeutic",2050
"specific",2050
"8",2044
"large",2041
"positive",2041
"resection",2035
"status",2034
"period",2033
"system",2025
"dose",2013
"follow-up",2012
"acute",1976
"30",1973
"combination",1964
"lesions",1962
"50",1958
"chest",1956
"effective",1953
"model",1950
"gene",1949
"complications",1941
"addition",1922
"15",1919
"population",1901
"95",1890
"echocardiography",1885
"reduced",1861
"imaging",1858
"7",1857
"analyzed",1853
"management",1851
"considered",1806
"investigated",1803
"received",1801
"ratio",1785
"multiple",1782
"prognosis",1771
"differences",1760
"mice",1753
"care",1752
"decreased",1750
"shown",1738
"chronic",1699
"complete",1699
"measured",1698
"induced",1693
"greater",1686
"difference",1673
"examination",1668
"presented",1663
"assessment",1661
"cancers",1660
"combined",1654
"11",1627
"determined",1622
"occurred",1619
"diagnosed",1615
"previously",1610
"current",1610
"tomography",1604
"assessed",1595
"14",1592
"association",1591
"medical",1581
"rare",1579
"range",1569
"atrial",1565
"toxicity",1565
"information",1557
"recent",1543
"test",1535
"correlation",1532
"weeks",1528
"provide",1525
"13",1518
"phase",1516
"single",1515
"18",1514
"serum",1507
"severe",1499
"9",1497
"efficacy",1494
"outcome",1491
"confirmed",1479
"squamous",1478
"detection",1474
"types",1473
"postoperative",1472
"smoking",1471
"prognostic",1469
"syndrome",1469
"assess",1464
"women",1463
"approach",1460
"standard",1454
"limited",1447
"artery",1446
"health",1443
"24",1440
"interval",1439
"history",1437
"25",1432
"contrast",1428
"symptoms",1423
"progression",1422
"hospital",1422
"relationship",1422
"computed",1418
"40",1417
"100",1414
"radiotherapy",1409
"subjects",1395
"correlated",1394
"literature",1393
"vitro",1391
"16",1391
"conditions",1386
"improved",1380
"poor",1379
"long-term",1378
"show",1378
"negative",1375
"methods",1372
"radiation",1362
"aim",1358
"0.05",1354
"size",1350
"independent",1349
"drug",1344
"agents",1340
"sensitivity",1339
"features",1336
"characteristics",1330
"lymph",1330
"0.001",1329
"initial",1326
"mass",1325
"male",1319
"involved",1315
"exposure",1312
"receptor",1310
"comparison",1304
"lines",1300
"involvement",1295
"reviewed",1291
"trials",1285
"consecutive",1282
"regression",1279
"technique",1279
"died",1276
"result",1274
"60",1268
"infarction",1266
"men",1257
"administration",1251
"year",1250
"caused",1248
"values",1247
"volume",1243
"identify",1238
"performance",1230
"peripheral",1228
"vivo",1227
"highly",1225
"vascular",1216
"general",1215
"trial",1213
"pressure",1212
"21",1211
"drugs",1206
"experience",1204
"systemic",1203
"19",1202
"respiratory",1201
"previous",1198
"established",1198
"functional",1196
"reduction",1194
"events",1193
"17",1190
"mechanisms",1181
"dysfunction",1181
"versus",1179
"bronchial",1179
"tumour",1176
"carcinomas",1175
"biopsy",1171
"additional",1167
"made",1165
"controls",1163
"day",1158
"molecular",1157
"good",1152
"prospective",1152
"local",1150
"increasing",1147
"target",1146
"improve",1146
"abnormalities",1141
"significance",1137
"selected",1134
"frequently",1131
"confidence",1130
"tissues",1124
"renal",1124
"life",1122
"techniques",1122
"non-small-cell",1121
"line",1121
"liver",1118
"investigate",1117
"hypertension",1117
"procedure",1113
"impact",1108
"decrease",1107
"and/or",1102
"research",1096
"inhibition",1088
"index",1088
"support",1087
"required",1084
"body",1084
"conducted",1082
"undergoing",1081
"mechanism",1077
"suggested",1066
"samples",1064
"lungs",1062
"quality",1060
"discussed",1060
"node",1058
"administered",1053
"activation",1053
"frequency",1052
"thoracic",1051
"relative",1041
"resulted",1036
"influence",1034
"remains",1034
"recently",1033
"parameters",1033
"area",1031
"models",1031
"0.01",1029
"man",1027
"22",1026
"formation",1020
"multivariate",1016
"expressed",1016
"deaths",1014
"procedures",1013
"frequent",1012
"retrospective",1012
"basis",1011
"histological",1007
"lesion",1004
"outcomes",1003
"morbidity",1002
"order",993
"duration",989
"elevated",988
"partial",988
"prior",988
"defined",979
"loss",979
"experimental",975
"induction",973
"change",970
"main",969
"future",969
"active",968
"preoperative",966
"randomized",964
"children",964
"doses",962
"recurrence",956
"secondary",952
"statistically",952
"suggests",946
"average",943
"23",939
"female",939
"conventional",939
"clinically",938
"80",937
"70",937
"plasma",937
"purpose",934
"valve",933
"analyses",930
"kinase",929
"part",928
"flow",926
"achieved",924
"operation",922
"healthy",919
"benefit",919
"wall",914
"criteria",913
"series",912
"ability",910
"disorders",910
"assay",910
"fraction",907
"genes",903
"abnormal",902
"screening",902
"complex",900
"tested",898
"cardiomyopathy",896
"mediastinal",895
"markers",893
"thrombus",893
"importance",892
"responses",889
"proliferation",883
"pathological",883
"prevalence",883
"times",877
"cellular",874
"genetic",869
"inhibitor",869
"process",869
"echocardiographic",868
"concentrations",864
"marker",863
"brain",863
"adverse",863
"leading",861
"grade",861
"pattern",861
"authors",860
"describe",857
"28",857
"aortic",857
"prevention",857
"cohort",852
"26",849
"35",848
"site",843
"isolated",838
"include",835
"demonstrate",835
"practice",834
"objective",832
"calculated",831
"physical",831
"article",831
"individual",829
"investigation",828
"appears",826
"congenital",825
"apoptosis",825
"mitral",823
"concentration",823
"diabetes",822
"cisplatin",819
"specimens",816
"central",816
"proteins",816
"enhanced",815
"resistance",815
"relation",815
"31",814
"predictive",814
"application",813
"form",812
"damage",812
"direct",808
"resected",806
"agent",805
"tests",801
"nodules",799
"approximately",797
"improvement",794
"increases",794
"arterial",794
"play",793
"absence",791
"images",791
"distribution",790
"problems",790
"inhibitors",789
"27",787
"sites",786
"monitoring",785
"reduce",784
"ventricle",784
"needed",782
"acid",781
"specificity",779
"45",779
"pleural",778
"stress",777
"sex",777
"weight",777
"bone",774
"receiving",774
"longer",773
"lead",769
"long",769
"benign",768
"exercise",768
"patterns",763
"malignancy",762
"pain",761
"intervention",761
"conclusion",761
"cardiology",761
"mouse",760
"estimated",758
"aged",758
"32",757
"suggesting",757
"nodes",757
"complication",752
"staging",751
"stroke",750
"work",749
"cycle",748
"knowledge",746
"differential",744
"tumours",743
"inhibited",741
"derived",740
"29",739
"injection",739
"accuracy",738
"75",734
"produced",732
"late",732
"strategies",732
"invasive",731
"33",731
"adult",730
"subsequent",728
"0",728
"applied",727
"occur",724
"individuals",723
"infection",721
"carried",720
"region",720
"provided",719
"reports",718
"potentially",717
"end",716
"retrospectively",716
"systolic",714
"extent",713
"mutations",712
"recurrent",711
"variables",710
"noted",709
"48",709
"degree",708
"adenocarcinomas",708
"mm",706
"develop",706
"invasion",704
"resulting",703
"lobectomy",703
"majority",703
"conclude",703
"understanding",703
"smokers",703
"animals",703
"pathway",701
"differentiation",701
"36",700
"underlying",699
"sensitive",699
"oral",696
"older",694
"affected",693
"stable",692
"irradiation",688
"routine",687
"extensive",687
"characterized",686
"testing",686
"critical",686
"biological",685
"ischemic",684
"collected",683
"transplantation",681
"aspects",678
"90",678
"enrolled",678
"muscle",676
"measurements",671
"regimen",671
"baseline",670
"free",670
"superior",666
"compare",664
"paper",664
"consistent",662
"quantitative",662
"immunohistochemical",662
"suspected",662
"males",659
"means",658
"family",658
"bronchogenic",657
"areas",655
"elderly",655
"identification",653
"risks",653
"acquired",653
"alterations",652
"unknown",651
"bypass",650
"cm",649
"65",647
"stages",647
"state",644
"maximum",644
"upper",642
"safe",641
"production",641
"histologic",641
"antibodies",640
"prolonged",638
"daily",638
"safety",637
"point",636
"woman",635
"intravenous",635
"nuclear",634
"epithelial",634
"capacity",633
"reaction",632
"resonance",632
"side",631
"difficult",629
"ejection",629
"hundred",627
"magnetic",626
"detect",626
"recorded",622
"surface",622
"percent",620
"condition",619
"fibrillation",618
"antigen",618
"affect",618
"occurrence",616
"43",615
"scan",614
"5-year",614
"successful",614
"measurement",614
"antibody",613
"commonly",613
"38",613
"34",612
"injury",612
"strong",611
"progressive",610
"uptake",610
"origin",610
"42",609
"variety",607
"accurate",607
"highest",606
"cardiopulmonary",605
"examine",603
"presenting",601
"relevant",600
"rats",598
"implications",598
"action",598
"37",596
"pathology",595
"pathologic",595
"appeared",593
"rapid",593
"developing",593
"setting",592
"staining",591
"odds",591
"therapies",590
"small-cell",590
"statistical",589
"treatments",588
"signs",587
"exposed",586
"admitted",585
"diameter",585
"myocardium",584
"remained",583
"moderate",582
"promising",582
"designed",581
"contribute",580
"histology",579
"essential",578
"classification",578
"sample",577
"finding",575
"expected",575
"regional",571
"recommended",570
"neoplasms",570
"hours",570
"oxygen",569
"predict",569
"spontaneous",567
"marked",567
"consisted",567
"properties",566
"short",565
"tool",565
"antitumor",564
"55",564
"strategy",564
"reference",563
"generally",562
"optimal",562
"records",561
"signaling",561
"divided",561
"melanoma",560
"cycles",560
"field",560
"problem",559
"mutation",558
"pathways",558
"image",558
"indications",557
"published",557
"organ",557
"prevent",556
"approaches",556
"controlled",554
"involving",554
"continuous",554
"led",553
"percentage",550
"young",550
"classified",550
"adults",549
"selection",548
"experienced",548
"regulation",548
"author",546
"proportion",546
"strongly",546
"activities",545
"41",543
"infusion",541
"pericardial",541
"lack",541
"clear",540
"measures",540
"cytotoxic",534
"larger",533
"terms",533
"inflammatory",533
"stenosis",533
"epidermal",531
"sudden",530
"severity",529
"atrium",529
"0.0001",528
"responsible",527
"mg",527
"presentation",527
"diastolic",526
"ratios",525
"remaining",521
"intensive",520
"binding",520
"manifestations",520
"histologically",520
"metabolic",519
"39",519
"ten",519
"membrane",519
"interventions",518
"immunohistochemistry",518
"mild",518
"comparable",517
"distant",517
"event",517
"arrhythmias",517
"repair",516
"characteristic",516
"successfully",514
"embolism",514
"immune",514
"operative",513
"females",513
"documented",512
"program",511
"malignancies",510
"laboratory",510
"exhibited",509
"gender",508
"length",507
"examinations",506
"endothelial",506
"past",506
"regimens",505
"animal",505
"carcinogenesis",504
"necrosis",503
"54",502
"natural",502
"46",502
"medicine",502
"advances",501
"hypertrophy",500
"organs",500
"proposed",500
"metabolism",500
"aggressive",499
"represent",498
"completely",498
"congestive",498
"44",497
"finally",497
"murine",497
"predictors",497
"47",497
"systems",496
"solid",496
"interaction",496
"key",496
"unit",495
"emission",495
"indicating",494
"directly",494
"score",492
"possibility",492
"profile",492
"autopsy",490
"effectiveness",488
"rehabilitation",488
"hypothesis",487
"perfusion",487
"adjuvant",487
"52",486
"thoracotomy",485
"pathogenesis",484
"lobe",484
"effusion",483
"alternative",482
"widely",481
"tolerated",481
"mg/m2",481
"hazard",481
"measure",481
"induce",480
"light",479
"altered",479
"enzyme",478
"forms",477
"fibrosis",477
"chain",477
"targeted",477
"thrombosis",477
"interest",475
"predictor",475
"processes",474
"predicted",473
"tobacco",473
"prospectively",473
"structure",472
"shows",472
"remain",471
"unusual",471
"vessels",471
"onset",471
"subsequently",471
"min",470
"recognized",470
"scans",469
"delivery",467
"repeated",467
"skin",466
"intervals",465
"56",465
"great",465
"insufficiency",465
"proved",465
"untreated",464
"logistic",464
"venous",463
"simple",462
"open",461
"markedly",460
"57",459
"week",459
"referred",459
"circulation",457
"72",457
"respect",457
"alpha",456
"adequate",456
"hemodynamic",456
"67",455
"transl",454
"receptors",453
"angiography",453
"benefits",452
"locally",452
"dependent",452
"concluded",451
"cerebral",451
"valvular",450
"monoclonal",449
"showing",449
"populations",449
"protocol",448
"cigarette",448
"components",448
"special",448
"comparing",447
"plays",447
"peptide",446
"58",446
"located",446
"toxicities",445
"defects",444
"transesophageal",444
"rat",444
"perioperative",444
"inhibit",443
"structures",443
"guidelines",443
"leads",442
"occurs",441
"kidney",439
"peak",439
"rapidly",439
"activated",439
"sarcoma",439
"air",439
"1.5",437
"experiments",436
"observation",436
"observations",435
"surgically",434
"account",433
"functions",433
"analysed",433
"estimate",432
"evaluating",431
"location",430
"applications",429
"pneumonectomy",429
"mediated",429
"manner",429
"poorly",429
"receive",427
"asymptomatic",427
"structural",427
"selective",426
"distinct",425
"component",425
"preliminary",425
"occurring",424
"unique",423
"curative",423
"64",423
"cardiotoxicity",423
"electrocardiogram",423
"focus",422
"electrocardiographic",422
"injected",422
"mg/kg",422
"determination",422
"potent",422
"neoplastic",421
"differentiated",421
"p53",421
"require",421
"tyrosine",420
"replacement",420
"specifically",420
"view",417
"ranged",417
"choice",417
"localized",417
"earlier",416
"content",416
"alveolar",415
"curve",415
"completed",414
"anterior",414
"differ",413
"motion",412
"failed",411
"63",411
"tract",410
"53",410
"ischemia",410
"set",410
"targets",409
"overexpression",409
"aimed",409
"noninvasive",409
"61",409
"survey",407
"0.02",407
"associations",407
"pneumonia",407
"month",406
"requires",406
"accumulation",406
"cumulative",406
"culture",405
"source",405
"initially",405
"49",404
"transcription",404
"usefulness",404
"apparent",404
"proven",403
"attention",403
"hearts",403
"nature",403
"investigations",403
"stimulation",402
"univariate",402
"percutaneous",402
"thrombi",402
"nodule",402
"reducing",400
"hand",400
"arteries",400
"bilateral",399
"regions",399
"fluid",398
"51",398
"62",397
"class",397
"trend",397
"assays",396
"signal",395
"discuss",394
"operations",394
"pediatric",393
"250",393
"linear",393
"people",393
"progress",392
"material",391
"wide",390
"consumption",390
"produce",390
"lymphoma",390
"younger",389
"needle",389
"variable",389
"matched",389
"2000",389
"concurrent",388
"adjusted",388
"internal",387
"regard",386
"represents",386
"toxic",386
"amount",385
"employed",385
"primarily",384
"modality",384
"smaller",384
"randomly",384
"impaired",384
"half",382
"etoposide",382
"radical",382
"detecting",381
"chemotherapeutic",381
"independently",381
"case-control",381
"excellent",381
"intensity",381
"feasible",380
"physicians",380
"thyroid",380
"assessing",380
"points",380
"typical",380
"obstructive",380
"resolution",379
"define",379
"workers",379
"generated",379
"appearance",378
"continued",377
"two-dimensional",377
"minimal",376
"excess",376
"transthoracic",376
"utility",376
"predicting",376
"localization",376
"solitary",375
"sinus",375
"71",375
"participants",375
"emergency",375
"treat",374
"unclear",374
"carboplatin",374
"modified",374
"physiological",373
"recovery",373
"high-risk",373
"design",373
"resistant",372
"phenotype",372
"block",372
"85",371
"68",371
"rarely",371
"intracardiac",371
"release",371
"paclitaxel",371
"symptomatic",370
"positron",370
"comparative",370
"compounds",370
"fatal",369
"anticancer",369
"59",369
"numbers",368
"doxorubicin",368
"make",368
"2.5",367
"aspiration",367
"breast",367
"admission",367
"final",367
"beneficial",367
"substantial",366
"confirm",366
"alive",365
"mechanical",365
"susceptibility",364
"occupational",364
"cytotoxicity",364
"0.5",364
"catheterization",364
"neutropenia",363
"removal",363
"arrest",363
"abdominal",362
"induces",361
"possibly",361
"output",361
"diagnoses",360
"numerous",360
"sequence",360
"persons",359
"systematic",359
"diffuse",359
"eligible",358
"limitations",358
"modalities",358
"planning",358
"excluded",357
"66",357
"feasibility",357
"beta",357
"200",356
"bronchoscopy",356
"dissection",355
"undergone",355
"identifying",355
"ultrasound",354
"protective",354
"variation",354
"standardized",354
"defect",353
"transient",353
"targeting",352
"concomitant",352
"density",351
"weekly",350
"operated",349
"survived",349
"treating",349
"fractions",349
"enhance",349
"suppressor",349
"correlate",348
"favorable",348
"nude",348
"septal",347
"dilated",347
"reliable",347
"matrix",346
"behavior",346
"growing",345
"tuberculosis",345
"scores",344
"hepatic",343
"acceptable",343
"roles",342
"69",342
"slightly",342
"shorter",342
"technology",342
"scanning",341
"close",341
"interactions",341
"accompanied",341
"lymphocytes",341
"intracellular",341
"situ",341
"determining",341
"angiogenesis",340
"describes",339
"etiology",339
"improving",339
"inflammation",339
